epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,11815.4,0.49105,3.18387,0.28744,0.49461,1.06748,0.93158,0.89944,0.96101,0.86205,0.84625,0.76799,0.77391,0.50017,0.4759,2.64811,0.25089,0.42949,0.91498,0.004159,0.004159,0.004159
61,12011.4,0.49261,3.21491,0.28715,0.49034,1.07172,0.93954,0.89251,0.96054,0.86021,0.83472,0.77594,0.76831,0.5021,0.47343,2.64142,0.2528,0.43021,0.91886,0.00406,0.00406,0.00406
62,12210.6,0.48768,3.16638,0.28633,0.48708,1.06699,0.93034,0.89603,0.96016,0.86175,0.85078,0.774,0.7769,0.50458,0.46896,2.61135,0.25103,0.42795,0.91194,0.003961,0.003961,0.003961
63,12407.4,0.48599,3.14019,0.28612,0.48213,1.06346,0.9364,0.89285,0.96035,0.86276,0.85426,0.76779,0.77524,0.50672,0.46921,2.59117,0.24924,0.4231,0.90778,0.003862,0.003862,0.003862
64,12603.5,0.47995,3.08776,0.28375,0.47748,1.06116,0.9332,0.89875,0.96112,0.86418,0.84009,0.77762,0.77031,0.50993,0.46648,2.60962,0.24916,0.42676,0.90759,0.003763,0.003763,0.003763
65,12799.8,0.47927,3.09128,0.28322,0.48216,1.05861,0.93783,0.89921,0.96105,0.865,0.83701,0.78138,0.76747,0.50438,0.46705,2.59532,0.2494,0.42877,0.90843,0.003664,0.003664,0.003664
66,12997.6,0.47656,3.05982,0.28157,0.47497,1.05902,0.94276,0.89557,0.96159,0.86651,0.84352,0.78229,0.76992,0.50851,0.46559,2.56402,0.24864,0.42386,0.90888,0.003565,0.003565,0.003565
67,13193.4,0.4764,3.04854,0.28273,0.47452,1.05843,0.94202,0.89489,0.96232,0.86754,0.85074,0.7798,0.77926,0.51758,0.46612,2.54503,0.24678,0.42148,0.90878,0.003466,0.003466,0.003466
68,13389.3,0.47253,3.04114,0.28135,0.47001,1.05668,0.94032,0.89716,0.96292,0.86837,0.84078,0.78978,0.78292,0.51958,0.46298,2.52792,0.24411,0.41752,0.90714,0.003367,0.003367,0.003367
69,13586.7,0.46735,2.98031,0.28047,0.46433,1.05322,0.9456,0.8924,0.96222,0.86783,0.84835,0.78354,0.7824,0.51748,0.46203,2.52134,0.24376,0.42035,0.90623,0.003268,0.003268,0.003268
70,13782.8,0.47237,3.02381,0.28288,0.46725,1.05431,0.92838,0.9067,0.96238,0.86987,0.84779,0.78456,0.78684,0.52718,0.45731,2.50294,0.2428,0.41828,0.90058,0.003169,0.003169,0.003169
71,13979.2,0.46606,2.9678,0.28074,0.4646,1.05182,0.9389,0.90346,0.96265,0.87146,0.84608,0.78863,0.78911,0.52951,0.45343,2.50304,0.2421,0.41739,0.89595,0.00307,0.00307,0.00307
72,14175.4,0.46548,2.93135,0.27983,0.45696,1.05149,0.92956,0.90488,0.96255,0.87111,0.85576,0.78547,0.79406,0.53085,0.45279,2.48853,0.24378,0.41478,0.89498,0.002971,0.002971,0.002971
73,14374.2,0.4583,2.93804,0.27937,0.4552,1.04872,0.93843,0.89989,0.96241,0.87075,0.84679,0.79047,0.79276,0.53445,0.45066,2.47242,0.24333,0.41481,0.89502,0.002872,0.002872,0.002872
74,14571,0.46058,2.90336,0.27675,0.45447,1.04795,0.94162,0.89711,0.96282,0.87229,0.85481,0.79274,0.80196,0.5382,0.44958,2.46854,0.24264,0.41281,0.89376,0.002773,0.002773,0.002773
75,14766.9,0.455,2.85588,0.27364,0.44987,1.04612,0.93974,0.89918,0.96294,0.87255,0.85427,0.79523,0.7983,0.53785,0.44809,2.45395,0.24093,0.41118,0.89223,0.002674,0.002674,0.002674
76,14962.8,0.4506,2.86997,0.27617,0.4486,1.04184,0.93771,0.90238,0.96258,0.8721,0.85171,0.79796,0.7953,0.53796,0.44492,2.44558,0.23932,0.41044,0.88968,0.002575,0.002575,0.002575
77,15160.6,0.44656,2.86513,0.27477,0.4451,1.04366,0.93272,0.90642,0.96274,0.87313,0.85474,0.79216,0.7991,0.54307,0.44651,2.43626,0.23876,0.41006,0.89203,0.002476,0.002476,0.002476
78,15356.1,0.4474,2.79915,0.27151,0.44141,1.04161,0.93587,0.90438,0.96252,0.87419,0.86576,0.78774,0.7997,0.54384,0.44665,2.42773,0.23884,0.40682,0.89302,0.002377,0.002377,0.002377
79,15552.9,0.44062,2.81365,0.27399,0.43988,1.03964,0.94689,0.89861,0.96312,0.87466,0.86303,0.79245,0.80314,0.54287,0.4463,2.42567,0.23884,0.40521,0.89406,0.002278,0.002278,0.002278
80,15751.1,0.4428,2.80332,0.2716,0.43978,1.03944,0.9423,0.90011,0.96331,0.87563,0.86415,0.79565,0.80472,0.54458,0.44472,2.41894,0.23852,0.40336,0.89155,0.002179,0.002179,0.002179
81,15947.5,0.43759,2.74212,0.27028,0.43144,1.03486,0.9444,0.89848,0.96296,0.8765,0.86254,0.79768,0.80311,0.54611,0.44273,2.40935,0.23746,0.40101,0.88993,0.00208,0.00208,0.00208
82,16144.3,0.43502,2.74597,0.26964,0.43215,1.03379,0.94804,0.89557,0.96322,0.87702,0.85813,0.79569,0.79777,0.54584,0.4415,2.40569,0.23745,0.40187,0.88926,0.001981,0.001981,0.001981
83,16341.2,0.43505,2.72093,0.27006,0.42844,1.03107,0.94486,0.89966,0.96364,0.87718,0.86032,0.79421,0.7982,0.5463,0.44176,2.40121,0.23778,0.40054,0.88957,0.001882,0.001882,0.001882
84,16540.1,0.43026,2.69384,0.26845,0.42632,1.02964,0.9465,0.90011,0.96336,0.87734,0.86077,0.79721,0.80013,0.55111,0.44063,2.39522,0.23745,0.40152,0.88853,0.001783,0.001783,0.001783
85,16736.4,0.4287,2.64335,0.26688,0.4212,1.02756,0.94473,0.90412,0.96356,0.87733,0.85405,0.79728,0.80255,0.55148,0.43761,2.39796,0.23718,0.40097,0.88546,0.001684,0.001684,0.001684
86,16932.5,0.42283,2.65934,0.26687,0.41693,1.02716,0.94027,0.90774,0.96344,0.87866,0.86153,0.79115,0.79989,0.55298,0.43714,2.39456,0.23673,0.4012,0.88477,0.001585,0.001585,0.001585
87,17128.6,0.42481,2.64065,0.26723,0.4166,1.02692,0.94115,0.90399,0.96342,0.87926,0.85978,0.79387,0.80226,0.55281,0.43639,2.39422,0.23666,0.40147,0.88399,0.001486,0.001486,0.001486
88,17327,0.42182,2.6275,0.26605,0.41544,1.02277,0.94056,0.90602,0.96337,0.87938,0.85608,0.80091,0.80124,0.55442,0.43482,2.38856,0.23613,0.39994,0.8822,0.001387,0.001387,0.001387
89,17522.6,0.4188,2.57424,0.26323,0.40933,1.02264,0.93887,0.90654,0.96397,0.88001,0.85589,0.80409,0.80322,0.55356,0.43292,2.3773,0.23567,0.39834,0.88033,0.001288,0.001288,0.001288
90,17718.5,0.41547,2.57491,0.26459,0.41257,1.02216,0.94126,0.9067,0.96399,0.87967,0.85789,0.80363,0.80525,0.55485,0.43278,2.37066,0.23564,0.39879,0.87986,0.001189,0.001189,0.001189
91,17936,0.33373,1.93542,0.24135,0.30628,0.96352,0.9399,0.9089,0.96429,0.87952,0.86284,0.79686,0.80175,0.55341,0.43151,2.36619,0.23471,0.39873,0.879,0.00109,0.00109,0.00109
92,18130.8,0.32572,1.85947,0.23637,0.29504,0.95946,0.93664,0.90942,0.96405,0.88002,0.86145,0.80091,0.80254,0.55204,0.43075,2.35951,0.23363,0.39638,0.87878,0.000991,0.000991,0.000991
93,18329,0.31606,1.84954,0.2345,0.28884,0.95314,0.93773,0.90829,0.96366,0.88114,0.86346,0.79955,0.80377,0.5539,0.42967,2.35184,0.23273,0.39482,0.87795,0.000892,0.000892,0.000892
94,18526.7,0.30974,1.78687,0.23338,0.28176,0.94613,0.93917,0.9042,0.96435,0.88087,0.86103,0.80363,0.80669,0.55605,0.42854,2.34375,0.23156,0.3938,0.87678,0.000793,0.000793,0.000793
95,18721.5,0.30689,1.7679,0.23258,0.27796,0.94617,0.94137,0.90238,0.96426,0.88093,0.86274,0.80431,0.80781,0.55782,0.42869,2.33743,0.23057,0.39227,0.87741,0.000694,0.000694,0.000694
96,18916,0.30356,1.73874,0.231,0.27608,0.94599,0.94405,0.90013,0.96421,0.88169,0.86354,0.80592,0.81074,0.56136,0.42719,2.33218,0.22983,0.3925,0.87615,0.000595,0.000595,0.000595
97,19112.9,0.30213,1.71843,0.22865,0.26932,0.94351,0.95082,0.89526,0.96451,0.88175,0.86517,0.80726,0.81308,0.56349,0.42653,2.32832,0.22898,0.39195,0.87608,0.000496,0.000496,0.000496
98,19307.8,0.29548,1.68434,0.22765,0.26943,0.93635,0.95137,0.89274,0.96441,0.88177,0.86491,0.80749,0.81304,0.56501,0.42596,2.3237,0.2284,0.39217,0.87586,0.000397,0.000397,0.000397
99,19502.4,0.29272,1.65771,0.22668,0.26522,0.93607,0.95118,0.8924,0.9645,0.88184,0.86251,0.80568,0.80987,0.56491,0.42579,2.31941,0.2278,0.3917,0.87571,0.000298,0.000298,0.000298
100,19697.1,0.2893,1.6491,0.22516,0.25944,0.93208,0.94275,0.90089,0.96467,0.88246,0.8635,0.80704,0.81108,0.56621,0.42576,2.3168,0.22746,0.39132,0.87583,0.000199,0.000199,0.000199
